"N0"	"N"	"E"	"H"	"属性"
1.00	25.05	102.70	1890.00	"云南大学本部"
2.00	25.04	102.72	1923.00	"昆明白塔路路口"
3.00	25.38	99.29	1308.00	"大保-澜沧江出口"
4.00	25.38	99.29	1301.00	"澜沧江收费站"
5.00	25.44	99.39	1894.00	"大青隧道出口"
6.00	25.44	99.42	1994.00	"山王庙隧道出口"
7.00	25.42	99.53	1594.00	"永平出口"
8.00	25.40	99.63	1935.00	"马道子隧道入口"
9.00	25.39	99.66	2180.00	"左施工便道水土流失冲沟明显"
10.00	25.39	99.68	2256.00	"万宝山隧道入口"
11.00	25.39	99.73	2206.00	"普渡出口，附近工程+生物防护景观效果好，土质松。"
12.00	25.42	99.79	1911.00	"砖房隧道"
13.00	25.46	99.87	1421.00	"进入峡谷，左河+旧公路，山上阔+松幼林4-5"
14.00	25.48	99.93	1361.00	"云龙跃进出口"
15.00	25.52	100.00	1345.00	"右有强化工程护坡"
16.00	25.55	100.02	1362.00	"大保路结束，楚大路开始"
17.00	25.56	100.04	1371.00	"大保、楚大交接处"
18.00	25.56	100.13	1637.00	"左西洱河电站，右强度护坡"
19.00	25.57	100.15	1845.00	"工程护坡再次滑坡，正在抢修"
20.00	25.57	100.20	1944.00	"大理入口弯道"
21.00	25.57	100.22	2003.00	"大理出口"
22.00	25.62	100.21	2030.00	"大理出口下关-大理中间路口"
23.00	25.69	100.17	1994.00	"古城墙"
24.00	25.70	100.14	2051.00	"三塔"
25.00	25.43	100.43	1776.00	"弥渡村子，大片田种菜"
26.00	25.40	100.46	1776.00	"海稍镇"
27.00	25.37	100.47	1742.00	"大片农田+零星村庄"
28.00	25.35	100.48	1687.00	"弥渡县城郊"
29.00	25.28	100.53	1672.00	"左山荒草，右农田"
30.00	25.23	100.56	1667.00	"左右田，远山荒草"
31.00	25.19	100.57	1661.00	"出坝田，进入山区"
32.00	25.05	100.53	1500.00	"南涧加油站"
33.00	25.03	100.50	1385.00	"岔路口，周围水土流失冲沟发育明显"
34.00	25.01	100.43	1474.00	"杂草，周围水土流失冲沟发育明显"
35.00	24.93	100.31	1883.00	"左右大片梯田+杂草地，山顶有松林"
36.00	24.90	100.28	2078.00	"山顶垭口，左右松幼林"
37.00	24.84	100.24	2318.00	"左右松幼林5-7+阔叶林"
38.00	24.80	100.21	2280.00	"左茶园+杂草，右华山松幼林大片"
39.00	24.75	100.15	1898.00	"坡地大山村+坡地，沿山有幼松林"
40.00	24.73	100.15	1709.00	"左澜沧江河谷，陡坡有梯田，右山松林"
41.00	24.72	100.13	1675.00	"澜沧江水电公司厂部基地"
42.00	24.70	100.09	1458.00	"坝址上工程区"
43.00	24.70	100.09	1399.00	"坝址上工程区"
44.00	24.70	100.09	1399.00	"左岸导流遂洞附近"
45.00	24.71	100.09	1127.00	"坝址上左岸江边路段"
46.00	24.71	100.09	1127.00	"坝址上左岸江边路段"
47.00	24.71	100.09	1127.00	"坝址上左岸江边路段"
48.00	24.71	100.09	1127.00	"坝址上左岸江边路段"
49.00	24.71	100.09	1102.00	"坝址上左岸江边路段"
50.00	24.68	100.12	1322.00	"出厂部坝址下沿途，左右云南松，山体陡峭"
51.00	24.66	100.11	1258.00	"沿途新建小镇"
52.00	24.66	100.10	1188.00	"岔路口，左江右山，沿线山体高大"
53.00	24.67	100.10	1120.00	"7+8局联合体施工营地"
54.00	24.68	100.09	1066.00	"坝下新建澜沧江大桥中心"
55.00	24.68	100.08	1273.00	"右岸工地，山上灌丛"
56.00	24.69	100.08	1413.00	"右岸工地公路，山上灌丛"
57.00	24.70	100.08	1439.00	"右岸工地公路，山上灌丛"
58.00	24.69	100.09	1054.00	"临时吊桥"
59.00	24.69	100.09	1144.00	"地下工厂洞口"
60.00	24.88	100.25	1086.00	"大片陡坡旱地"
61.00	24.88	100.26	1086.00	"左云南松林小片，周围退化山地"
62.00	24.86	100.27	1839.00	"左右大片云南松幼林6-84/5"
63.00	24.87	100.28	1789.00	"山坡旱地，远山旱地+村+松林"
64.00	24.87	100.28	1766.00	"山村"
65.00	24.87	100.29	1610.00	"小坝谷田，左右松林5/5"
66.00	24.86	100.30	1557.00	"山村，左右小坝谷田"
67.00	24.84	100.30	1519.00	"山间小谷田，左旱地，右山荒草"
68.00	24.84	100.30	1505.00	"山村入口"
69.00	24.83	100.31	1486.00	"公郎乡邮局"
70.00	24.83	100.31	1483.00	"小河桥，左右田+山旱地+松林"
71.00	24.81	100.33	1409.00	"小山村+小河，右山云南松3/5"
72.00	24.79	100.34	1290.00	"左小河，右山村，周围坡旱地+云南松+次阔"
73.00	24.78	100.34	1241.00	"左小河谷，右坡旱地+山上云南松"
74.00	24.77	100.35	1163.00	"左小河，右山下次生阔叶林，山上云南松"
75.00	24.76	100.36	1119.00	"左山阔叶林+云南松，右详云-临沧在建高速路"
76.00	24.76	100.36	1031.00	"落底河移民点-漫湾后期移民安置点"
77.00	24.75	100.36	1001.00	"落底河村"
78.00	24.75	100.36	987.00	"漫湾库区支流小码头"
79.00	24.74	100.36	981.00	"进入干流，附近在建详-临高速路跨江大桥"
80.00	24.73	100.37	985.00	"两岸林地覆盖好，左云南松，右山下阔叶林，山顶云南"
81.00	24.72	100.38	999.00	"两岸林地覆盖好，两岸有退耕坡地"
82.00	24.69	100.40	986.00	"两岸林地覆盖好，有云南松大片"
83.00	24.68	100.40	998.00	"右山下原始阔叶林，山顶云南松，右山顶云南松，中部"
84.00	24.67	100.41	989.00	"左松林，右支流"
85.00	24.65	100.42	997.00	"左支流，附近有后靠移民+松林，右有退耕地"
86.00	24.64	100.43	995.00	"左云南松+坡旱地，右后靠移民坡旱地，山顶有松林"
87.00	24.63	100.44	988.00	"近大坝，左右山松+旱地"
88.00	24.62	100.44	993.00	"漫湾码头"
89.00	24.62	100.44	1006.00	"漫湾大坝中心"
90.00	24.59	100.47	1058.00	"漫湾厂部大门"
91.00	24.01	100.37	867.00	"大朝山电站大坝路口"
92.00	24.01	100.31	1665.00	"大朝山东村附近"
93.00	23.98	100.33	1653.00	"梯田大片"
94.00	23.97	100.34	1672.00	"村（周围有梯田+旱地）"
95.00	23.95	100.34	1613.00	"村（周围有梯田+旱地）"
96.00	23.93	100.34	1611.00	"村（周围有梯田+旱地）"
97.00	23.92	100.34	1636.00	"梯田"
98.00	23.90	100.33	1701.00	"村（周围有梯田+旱地）"
99.00	23.86	100.30	1626.00	"松林"
100.00	23.84	100.30	1583.00	"村（周围有梯田+旱地）"
101.00	23.83	100.28	1601.00	"村（周围有梯田+旱地）"
102.00	23.81	100.27	1613.00	"松林"
103.00	23.83	100.24	1542.00	"梯田"
104.00	23.84	100.22	1488.00	"村（周围有梯田+旱地）"
105.00	23.85	100.20	1637.00	"村（周围有梯田+旱地）"
106.00	23.85	100.18	1810.00	"森林-云南松"
107.00	23.87	100.18	2116.00	"森林-云南松"
108.00	23.90	100.15	2049.00	"森林-云南松"
109.00	23.89	100.09	1456.00	"临沧城"
110.00	23.88	100.08	1478.00	"临沧临通大酒店"
111.00	23.82	100.05	1639.00	"村镇+田"
112.00	23.75	100.04	1682.00	"机场路口，左有松林"
113.00	23.72	100.05	1733.00	"博尚溪乡镇"
114.00	23.65	100.06	1815.00	"左村，右谷地梯田"
115.00	23.61	100.10	1729.00	"旱地"
116.00	23.56	100.11	1513.00	"松林"
117.00	23.52	100.12	1407.00	"思茅松大片"
118.00	23.54	100.16	989.00	"大片甘蔗地"
119.00	23.56	100.17	750.00	"景临大桥"
120.00	23.60	100.31	933.00	"小桥，左右阔叶林+松，右小河谷"
121.00	23.59	100.32	933.00	"常绿阔叶林+山顶思茅松"
122.00	23.58	100.36	986.00	"思茅松大片"
123.00	23.56	100.39	1049.00	"阔松混交"
124.00	23.54	100.39	1065.00	"左小田+阔松混交，右阔松混交"
125.00	23.53	100.39	1051.00	"左荒山，右河+阔松混交"
126.00	23.50	100.39	1053.00	"下阔上松"
127.00	23.49	100.40	1132.00	"思茅松+零星甘蔗"
128.00	23.47	100.40	1128.00	"河谷小桥+路边小村"
129.00	23.45	100.40	1098.00	"木材加工厂+周围荒山+甘蔗地"
130.00	23.44	100.40	1098.00	"景东永平乡路口（午饭处）"
131.00	23.43	100.42	1132.00	"左村，右甘蔗田，"
132.00	23.44	100.44	1140.00	"松树林"
133.00	23.45	100.47	1431.00	"思茅松林+林下阔叶灌木"
134.00	23.46	100.48	1466.00	"思茅松林+林下阔叶灌木"
135.00	23.48	100.48	1477.00	"思茅松林+林下阔叶灌木"
136.00	23.49	100.51	1741.00	"左村"
137.00	23.50	100.56	1643.00	"思茅松原始林"
138.00	23.51	100.61	1635.00	"左茶+阔叶林+松，右水库+松"
139.00	23.50	100.65	1503.00	"自然滑坡点，思茅松覆盖好"
140.00	23.50	100.67	1240.00	"左果园（香蕉，芒果），右旱地"
141.00	23.49	100.69	1016.00	"景谷县城加油站"
142.00	23.51	100.75	1077.00	"甘蔗地"
143.00	23.48	100.80	1228.00	"大片坡旱地（土厚而松）"
144.00	23.44	100.83	1366.00	"半山坡下旱地，山上松阔混交"
145.00	23.40	100.84	1243.00	"小片坝田，远山有松林"
146.00	23.38	100.86	1152.00	"思茅松4/5+阔叶林1/5"
147.00	23.36	100.88	1078.00	"下阔上松"
148.00	23.36	100.91	1046.00	"左小河，河水清澈，山下阔上松"
149.00	23.34	100.91	1013.00	"左小河，河水清澈，山下阔上松"
150.00	23.32	100.90	997.00	"左小河，河水清澈，山下阔上松"
151.00	23.30	100.90	961.00	"左小河，河水清澈，山下阔上松"
152.00	23.26	100.91	914.00	"左小河，河水清澈，山下阔上松"
153.00	23.23	100.90	886.00	"左小河，河水清澈，山下阔上松"
154.00	23.23	100.90	886.00	"桥头，二河交汇"
155.00	23.21	100.92	874.00	"桥头，二河交汇"
156.00	23.20	100.93	872.00	"又桥头，二河交汇"
157.00	23.17	100.97	957.00	"松林"
158.00	23.16	100.98	999.00	"小桥"
159.00	23.08	101.04	1404.00	"坝田"
160.00	23.04	101.04	1341.00	"坝田"
161.00	23.02	101.04	1312.00	"普洱城郊加油站"
162.00	22.95	101.04	1220.00	"出普洱收费站"
163.00	22.80	100.98	1332.00	"进思茅收费站"
164.00	22.77	100.96	1292.00	"思茅绿都酒店"
165.00	22.76	100.98	1322.00	"思茅郊区"
166.00	22.77	100.95	1327.00	"思茅老街子收费站，左菜园，右阔叶林"
167.00	22.79	100.88	1244.00	"阔叶林4/5+山顶松1/5"
168.00	22.77	100.87	1300.00	"左村+香蕉，右坝田"
169.00	22.74	100.80	1209.00	"山中部下阔叶林，以上思茅松"
170.00	22.70	100.80	1032.00	"下阔上松"
171.00	22.65	100.78	1088.00	"桥"
172.00	22.63	100.42	943.00	"糯扎渡大坝坝址附近"
173.00	22.63	100.43	614.00	"糯扎渡大坝坝址"
174.00	22.64	100.42	625.00	"小桥-未来大坝弃渣场"
175.00	22.64	100.42	643.00	"临时吊桥"
176.00	22.67	100.39	667.00	"虎跳石大桥右岸"
177.00	22.67	100.38	659.00	"江边小镇"
178.00	22.67	100.37	653.00	"小桥"
179.00	22.67	100.36	645.00	"黑江与澜沧江干流交汇附近，山上植被稀疏+果园+旱地"
180.00	22.67	100.35	639.00	"左次生灌木，右黑江+山上果园+旱地+稀疏灌木"
181.00	22.66	100.33	656.00	"左次生灌木，右黑江+山上果园+旱地+稀疏灌木"
182.00	22.67	100.37	637.00	"黑江与澜沧江干流交汇"
183.00	22.67	100.37	632.00	"糯扎渡渡口码头"
184.00	22.67	100.37	601.00	"糯扎渡渡口码头（江边）"
185.00	22.67	100.38	605.00	"左山村，右梯田+果园"
186.00	22.66	100.40	617.00	"左糯扎渡保护区灌木，右澜沧江+山竹林"
187.00	22.65	100.41	617.00	"左糯扎渡保护区灌木，右澜沧江+山竹林"
188.00	22.62	100.44	641.00	"左阔叶林，右澜沧江+山竹林"
189.00	22.61	100.44	641.00	"左阔叶林+坡地，右澜沧江+山竹林+旱地+山村"
190.00	22.60	100.45	641.00	"左阔叶林+坡地，右澜沧江+山竹林+阔叶林混交"
191.00	22.59	100.46	644.00	"左荒山，右澜沧江+山竹林大片"
192.00	22.59	100.47	642.00	"左芒果园，右澜沧江+山竹林大片"
193.00	22.58	100.48	640.00	"左岩石，右澜沧江+山竹林+阔叶林混交"
194.00	22.57	100.49	634.00	"左竹+阔，右澜沧江+山竹林+阔叶林+坡地"
195.00	22.56	100.51	639.00	"支流交汇处，周围阔+竹"
196.00	22.57	100.52	673.00	"左阔+竹，右澜沧江支流"
197.00	22.57	100.54	675.00	"左阔+竹，右澜沧江支流+香蕉+芒果园"
198.00	22.56	100.55	702.00	"左阔+竹，右小田坝+村+果园"
199.00	22.57	100.57	722.00	"那谰乡"
200.00	22.56	100.58	736.00	"至思茅港路口"
201.00	22.55	100.58	728.00	"小桥"
202.00	22.55	100.58	731.00	"左山阔叶林，右橡胶林大片"
203.00	22.53	100.57	723.00	"橡胶林"
204.00	22.52	100.57	723.00	"芒果园"
205.00	22.51	100.57	684.00	"左阔，右澜沧江"
206.00	22.51	100.57	669.00	"芒果园+山村"
207.00	22.50	100.58	632.00	"思茅港（江边）"
208.00	22.58	100.59	728.00	"阔+竹"
209.00	22.58	100.60	730.00	"小桥（阔+竹）"
210.00	22.60	100.62	730.00	"上松下阔"
