83
ID , xLon , yLat
1 , 10 , 364
2 , 35 , 387
3 , 101 , 429
4 , 97 , 462
5 , 126 , 466
6 , 133 , 498
7 , 165 , 495
8 , 190 , 529
9 , 235 , 487
10 , 289 , 448
11 , 305 , 422
12 , 373 , 419
13 , 412 , 404
14 , 503 , 438
15 , 538 , 464
16 , 603 , 488
17 , 584 , 511
18 , 552 , 510
19 , 567 , 542
20 , 600 , 554
21 , 622 , 600
22 , 677 , 598
23 , 708 , 541
24 , 747 , 526
25 , 751 , 506
26 , 800 , 517
27 , 775 , 462
28 , 753 , 460
29 , 755 , 434
30 , 724 , 410
31 , 701 , 403
32 , 670 , 382
33 , 623 , 357
34 , 638 , 383
35 , 632 , 393
36 , 594 , 362
37 , 578 , 355
38 , 586 , 342
39 , 592 , 344
40 , 596 , 344
41 , 596 , 341
42 , 598 , 338
43 , 596 , 333
44 , 599 , 329
45 , 606 , 328
46 , 615 , 339
47 , 630 , 334
48 , 644 , 333
49 , 642 , 324
50 , 629 , 322
51 , 612 , 310
52 , 599 , 291
53 , 613 , 280
54 , 634 , 238
55 , 634 , 223
56 , 617 , 214
57 , 637 , 205
58 , 612 , 156
59 , 597 , 125
60 , 563 , 89
61 , 535 , 74
62 , 508 , 66
63 , 488 , 60
64 , 484 , 56
65 , 488 , 46
66 , 479 , 44
67 , 477 , 65
68 , 457 , 68
69 , 436 , 80
70 , 419 , 95
71 , 371 , 78
72 , 351 , 71
73 , 323 , 129
74 , 331 , 169
75 , 298 , 180
76 , 256 , 157
77 , 212 , 171
78 , 138 , 196
79 , 77 , 233
80 , 76 , 277
81 , 41 , 315
82 , 23 , 330
83 , 11 , 363
