32
ID , NAME , Rank , xInt , yInt
1 , 北京 , 1 , 563 , 375
2 , 天津 , 2 , 573 , 362
3 , 石家庄 , 2 , 538 , 344
4 , 太原 , 2 , 514 , 341
5 , 呼和浩特 , 2 , 502 , 390
6 , 沈阳 , 2 , 654 , 407
7 , 长春 , 2 , 678 , 442
8 , 哈尔滨 , 2 , 695 , 473
9 , 上海 , 2 , 628 , 229
10 , 南京 , 2 , 594 , 243
11 , 杭州 , 2 , 612 , 213
12 , 合肥 , 2 , 574 , 240
13 , 福州 , 2 , 600 , 142
14 , 南昌 , 2 , 557 , 186
15 , 济南 , 2 , 571 , 320
16 , 郑州 , 2 , 528 , 288
17 , 武汉 , 2 , 536 , 218
18 , 长沙 , 2 , 519 , 178
19 , 广州 , 2 , 522 , 93
20 , 南宁 , 2 , 459 , 87
21 , 成都 , 2 , 404 , 219
22 , 重庆 , 2 , 435 , 201
23 , 贵阳 , 2 , 438 , 151
24 , 昆明 , 2 , 386 , 125
25 , 拉萨 , 2 , 237 , 203
26 , 西安 , 2 , 467 , 280
27 , 兰州 , 2 , 400 , 310
28 , 西宁 , 2 , 374 , 319
29 , 银川 , 2 , 432 , 351
30 , 乌鲁木齐 , 2 , 191 , 440
31 , 澳门 , 9 , 526 , 77
32 , 香港 , 9 , 534 , 78
